
Coverage by Pool and MIDs

        Pool.Nm MID  Reads
1     VHBASS35X  15  43959
2     VHBASS35X  16  33383
3     VHBASS35X  17  44009
4     VHBASS35X  18  15465
5     VHBASS35X  19  37831
6     VHBASS35X  20  23500
7     VHBASS35X  21  29342
8     VHBASS35X  22  15271
9     VHBASS35X  23  47304
10    VHBASS35X  24   9247
11    VHBASS35X  25   4618
12    VHBASS35X  26  30138
13 VHBASS3PRES1  28  23397
14 VHBASS3PRES1   2  14725
15 VHBASS3PRES1   3 138737
16 VHBASS3PRES1   4  27601
17 VHBASS3PRES1   5  26349
18 VHBASS3PRES1   6  27418
19 VHBASS3PRES1   7  37180
20 VHBASS3PRES1   8  23321
21 VHBASS3PRES1  29  24941
22 VHBASS3PRES1  30  12494
23 VHBASS3PRES1  31  20923
24 VHBASS3PRES1  14  28873

             TotReads  NoMID MIDReads
VHBASS35X      635783 301716   334067
VHBASS3PRES1   649631 243672   405959
